id;last_update;token_type;serial;owner_taxcode;subject_info;alias;token_info;raw_data
1;Chicken Towels Checking Account;connect;salmon;synergies implement actuating;Direct connecting Engineer;Investor 1080p bypassing;Handmade Cotton Salad;ROI primary
2;Kansas Forge;Synergized;Toys Forint;Kenyan Shilling program;synthesize;gold superstructure;Argentina feed mobile;Alley Functionality
3;Kuwaiti Dinar South Carolina;digital systems Car;Unbranded Steel Towels;Pants info-mediaries;Washington Ergonomic Steel Fish;Planner intuitive Web;AGP transmitting Cloned;Grove
4;Avon Tasty Granite Chips;robust Ohio;GB;grey European Unit of Account 9(E.U.A.-9) Borders;Usability multi-state;Gorgeous Wooden Pizza Cayman Islands Dollar Barbados;iterate;Granite Administrator
5;Dominican Peso;JSON;moratorium withdrawal Rustic;Hawaii Plain Branding;Intuitive;lavender Small;Sudanese Pound;Liaison
6;Gateway Cook Islands;Granite Accountability enhance;Electronics payment;Direct Planner;database;SCSI invoice;input Land compelling;synthesizing
7;Wooden Interactions input;Handmade Wooden Chair strategic protocol;Architect Swedish Krona capacity;Personal Loan Account Solomon Islands violet;JBOD cultivate Soft;generating Ergonomic Gorgeous;virtual;object-oriented red Investment Account
8;Montana;Savings Account Handmade Soft Sausages open system;Macao Paradigm circuit;enterprise Incredible Wooden Shoes interface;real-time back up Associate;invoice;rich Loop;sensor
9;transmit;index;24/7;Small Markets;purple invoice;Arkansas integrated;Home Diverse;Product Division evolve
10;optimizing;methodology Credit Card Account streamline;Checking Account;dynamic;leverage Automotive compress;program;facilitate Movies Pants;e-business
